Name of the farmer,Type of Soil,Type/Variety,Location,Type of Crops,Week 1,Week 2,Week 3,Week 4,Month,Year,Total,Report Type
Steven Christine Webster,Non-Irrigated,Tubigan 14,Purok 2,Corn,0.81,1.71,1.48,1.39,January,2023,5.39,Harvest
Steven Christine Webster,Irrigated,NSIC Rc 222,Purok 2,Corn,1.16,0.78,1.45,1.09,February,2023,4.48,Harvest
Steven Christine Webster,Irrigated,NSIC Rc 222,Purok 2,Corn,0.56,0.68,1.26,1.83,March,2023,4.33,Harvest
Steven Christine Webster,Irrigated,PSB Rc82,Purok 2,Corn,1.92,1.76,1.96,1.87,April,2023,7.51,Harvest
Steven Christine Webster,Non-Irrigated,NSIC Rc 222,Purok 2,Corn,1.43,1.82,1.81,1.61,May,2023,6.67,Harvest
Steven Christine Webster,Irrigated,NSIC Rc 222,Purok 2,Corn,0.93,1.08,1.66,1.14,June,2023,4.81,Harvest
Steven Christine Webster,Non-Irrigated,Tubigan 14,Purok 2,Corn,1.52,1.31,1.31,1.22,July,2023,5.36,Harvest
Steven Christine Webster,Non-Irrigated,PSB Rc82,Purok 2,Corn,1.51,1.28,1.75,0.73,August,2023,5.27,Harvest
Steven Christine Webster,Irrigated,Tubigan 14,Purok 2,Corn,0.79,0.51,1.72,1.78,September,2023,4.8,Harvest
Steven Christine Webster,Irrigated,Tubigan 14,Purok 2,Corn,1.66,1.56,1.62,1.59,October,2023,6.43,Harvest
Steven Christine Webster,Irrigated,NSIC Rc 222,Purok 2,Corn,0.86,1.01,1.26,1.95,November,2023,5.08,Harvest
Steven Christine Webster,Non-Irrigated,NSIC Rc 222,Purok 2,Corn,1.26,0.57,0.92,1.59,December,2023,4.34,Harvest
Steven Christine Webster,Non-Irrigated,PSB Rc82,Purok 2,Corn,1.51,0.93,1.39,1.44,January,2024,5.27,Harvest
Steven Christine Webster,Irrigated,Tubigan 14,Purok 2,Corn,0.75,1.03,0.97,1.82,February,2024,4.57,Harvest
Steven Christine Webster,Irrigated,PSB Rc82,Purok 2,Corn,1.74,1.57,1.3,0.65,March,2024,5.26,Harvest
Steven Christine Webster,Irrigated,NSIC Rc 216,Purok 2,Corn,1,0.56,1.02,1.71,April,2024,4.29,Harvest
Steven Christine Webster,Non-Irrigated,PSB Rc82,Purok 2,Corn,1.74,0.78,1.53,1.84,May,2024,5.89,Harvest
Steven Christine Webster,Irrigated,NSIC Rc 216,Purok 2,Corn,1.88,1.78,1.3,1.37,June,2024,6.33,Harvest
Steven Christine Webster,Non-Irrigated,NSIC Rc 216,Purok 2,Corn,0.97,0.68,0.6,1.93,July,2024,4.18,Harvest
Steven Christine Webster,Non-Irrigated,Tubigan 14,Purok 2,Corn,1.38,1.95,1.48,1.4,August,2024,6.21,Harvest
Steven Christine Webster,Non-Irrigated,Tubigan 14,Purok 2,Corn,0.52,1.32,1.57,1.59,September,2024,5,Harvest
Steven Christine Webster,Non-Irrigated,PSB Rc82,Purok 2,Corn,0.51,1.49,1.99,1.09,October,2024,5.08,Harvest
Steven Christine Webster,Non-Irrigated,NSIC Rc 216,Purok 2,Corn,1.57,1.49,1.21,1.19,November,2024,5.46,Harvest
Steven Christine Webster,Irrigated,NSIC Rc 222,Purok 2,Corn,0.7,1.97,1.87,1.8,December,2024,6.34,Harvest
Robert Veronica Figueroa,Irrigated,NSIC Rc 222,Purok 4,Corn,1.22,1.88,1.29,1.55,January,2020,5.94,Harvest
Robert Veronica Figueroa,Irrigated,NSIC Rc 216,Purok 4,Corn,0.68,1.42,1.99,1.21,February,2020,5.3,Harvest
Robert Veronica Figueroa,Irrigated,Tubigan 14,Purok 4,Corn,0.88,0.7,1.16,1.57,March,2020,4.31,Harvest
Robert Veronica Figueroa,Irrigated,Tubigan 14,Purok 4,Corn,0.66,1.02,0.9,1.96,April,2020,4.54,Harvest
Robert Veronica Figueroa,Non-Irrigated,Tubigan 14,Purok 4,Corn,1.85,1.05,1.28,1.86,May,2020,6.04,Harvest
Robert Veronica Figueroa,Irrigated,NSIC Rc 222,Purok 4,Corn,1.77,1.32,1.02,1.25,June,2020,5.36,Harvest
Robert Veronica Figueroa,Non-Irrigated,NSIC Rc 216,Purok 4,Corn,1.61,0.56,1.18,1.09,July,2020,4.44,Harvest
Robert Veronica Figueroa,Non-Irrigated,Tubigan 14,Purok 4,Corn,0.51,1.89,0.82,0.53,August,2020,3.75,Harvest
Robert Veronica Figueroa,Irrigated,NSIC Rc 216,Purok 4,Corn,1.17,1.74,1.54,0.72,September,2020,5.17,Harvest
Robert Veronica Figueroa,Non-Irrigated,NSIC Rc 216,Purok 4,Corn,1.8,1.08,1.92,1.17,October,2020,5.97,Harvest
Robert Veronica Figueroa,Irrigated,Tubigan 14,Purok 4,Corn,0.71,1.86,1.09,0.99,November,2020,4.65,Harvest
Robert Veronica Figueroa,Irrigated,NSIC Rc 222,Purok 4,Corn,1.56,1.97,1.6,1.64,December,2020,6.77,Harvest
Robert Veronica Figueroa,Non-Irrigated,Tubigan 14,Purok 4,Corn,1.41,1.95,1.86,1.79,January,2021,7.01,Harvest
Robert Veronica Figueroa,Non-Irrigated,Tubigan 14,Purok 4,Corn,1.91,1.63,0.55,1.95,February,2021,6.04,Harvest
Robert Veronica Figueroa,Non-Irrigated,NSIC Rc 222,Purok 4,Corn,0.94,1.57,1.94,1.16,March,2021,5.61,Harvest
Robert Veronica Figueroa,Irrigated,PSB Rc82,Purok 4,Corn,1.1,1.99,0.56,1.74,April,2021,5.39,Harvest
Robert Veronica Figueroa,Non-Irrigated,NSIC Rc 216,Purok 4,Corn,0.58,1.47,1.2,1.73,May,2021,4.98,Harvest
Robert Veronica Figueroa,Non-Irrigated,NSIC Rc 222,Purok 4,Corn,1.88,0.69,1.48,0.75,June,2021,4.8,Harvest
Robert Veronica Figueroa,Irrigated,PSB Rc82,Purok 4,Corn,0.86,0.82,0.69,0.63,July,2021,3,Harvest
Robert Veronica Figueroa,Irrigated,PSB Rc82,Purok 4,Corn,0.92,1.33,0.61,0.57,August,2021,3.43,Harvest
Robert Veronica Figueroa,Irrigated,Tubigan 14,Purok 4,Corn,1.95,1.13,1.51,1.33,September,2021,5.92,Harvest
Robert Veronica Figueroa,Non-Irrigated,PSB Rc82,Purok 4,Corn,1.16,1.61,1.13,1.6,October,2021,5.5,Harvest
Robert Veronica Figueroa,Non-Irrigated,NSIC Rc 216,Purok 4,Corn,0.58,1.38,0.57,1.43,November,2021,3.96,Harvest
Robert Veronica Figueroa,Irrigated,NSIC Rc 216,Purok 4,Corn,1.45,0.64,0.79,1.66,December,2021,4.54,Harvest
Robert Veronica Figueroa,Irrigated,Tubigan 14,Purok 4,Corn,1.17,1.59,0.92,1.79,January,2022,5.47,Harvest
Robert Veronica Figueroa,Irrigated,NSIC Rc 216,Purok 4,Corn,0.99,1.71,1.18,1.95,February,2022,5.83,Harvest
Robert Veronica Figueroa,Irrigated,NSIC Rc 222,Purok 4,Corn,1.76,0.63,1.33,1.2,March,2022,4.92,Harvest
Robert Veronica Figueroa,Non-Irrigated,NSIC Rc 222,Purok 4,Corn,0.65,0.54,1.77,1.49,April,2022,4.45,Harvest
Robert Veronica Figueroa,Irrigated,Tubigan 14,Purok 4,Corn,0.98,1.99,0.59,0.86,May,2022,4.42,Harvest
Robert Veronica Figueroa,Irrigated,Tubigan 14,Purok 4,Corn,0.79,1.37,1.64,1.39,June,2022,5.19,Harvest
Robert Veronica Figueroa,Irrigated,PSB Rc82,Purok 4,Corn,1.19,1.84,0.99,1.17,July,2022,5.19,Harvest
Robert Veronica Figueroa,Non-Irrigated,NSIC Rc 222,Purok 4,Corn,1.05,0.56,0.87,0.79,August,2022,3.27,Harvest
Robert Veronica Figueroa,Irrigated,NSIC Rc 222,Purok 4,Corn,1.17,1.08,1.38,1.39,September,2022,5.02,Harvest
Robert Veronica Figueroa,Irrigated,PSB Rc82,Purok 4,Corn,1.16,1.8,1.18,1.52,October,2022,5.66,Harvest
Robert Veronica Figueroa,Irrigated,NSIC Rc 216,Purok 4,Corn,0.79,0.81,1.14,1.18,November,2022,3.92,Harvest
Robert Veronica Figueroa,Non-Irrigated,Tubigan 14,Purok 4,Corn,1.4,1.54,1.33,0.94,December,2022,5.21,Harvest
Robert Veronica Figueroa,Non-Irrigated,Tubigan 14,Purok 4,Corn,1.72,1.9,1.08,0.57,January,2023,5.27,Harvest
Robert Veronica Figueroa,Irrigated,PSB Rc82,Purok 4,Corn,0.85,1.92,0.6,1.35,February,2023,4.72,Harvest
Robert Veronica Figueroa,Non-Irrigated,Tubigan 14,Purok 4,Corn,0.7,0.86,0.64,1.45,March,2023,3.65,Harvest
Robert Veronica Figueroa,Irrigated,NSIC Rc 216,Purok 4,Corn,1.78,1.94,1.04,1.82,April,2023,6.58,Harvest
Robert Veronica Figueroa,Irrigated,Tubigan 14,Purok 4,Corn,0.79,1.55,1.86,1.81,May,2023,6.01,Harvest
Robert Veronica Figueroa,Non-Irrigated,Tubigan 14,Purok 4,Corn,1.84,1.67,1.72,1.12,June,2023,6.35,Harvest
Robert Veronica Figueroa,Non-Irrigated,NSIC Rc 216,Purok 4,Corn,1.09,1.51,0.71,1.74,July,2023,5.05,Harvest
Robert Veronica Figueroa,Non-Irrigated,NSIC Rc 216,Purok 4,Corn,1.62,1.16,1.32,1.77,August,2023,5.87,Harvest
Robert Veronica Figueroa,Irrigated,NSIC Rc 222,Purok 4,Corn,0.93,0.73,1.91,1.69,September,2023,5.26,Harvest
Robert Veronica Figueroa,Non-Irrigated,NSIC Rc 222,Purok 4,Corn,1.84,0.99,0.96,0.96,October,2023,4.75,Harvest
Robert Veronica Figueroa,Non-Irrigated,NSIC Rc 216,Purok 4,Corn,1.95,1.96,0.95,1.19,November,2023,6.05,Harvest
Robert Veronica Figueroa,Irrigated,NSIC Rc 222,Purok 4,Corn,1.39,1.07,1.96,0.97,December,2023,5.39,Harvest
Robert Veronica Figueroa,Irrigated,NSIC Rc 222,Purok 4,Corn,1.65,0.59,1.78,1.82,January,2024,5.84,Harvest
Robert Veronica Figueroa,Irrigated,NSIC Rc 216,Purok 4,Corn,1.81,1.91,0.62,1.77,February,2024,6.11,Harvest
Robert Veronica Figueroa,Irrigated,NSIC Rc 216,Purok 4,Corn,1.13,1.69,0.98,0.78,March,2024,4.58,Harvest
Robert Veronica Figueroa,Non-Irrigated,Tubigan 14,Purok 4,Corn,0.7,0.74,1.41,1.16,April,2024,4.01,Harvest
Robert Veronica Figueroa,Irrigated,NSIC Rc 222,Purok 4,Corn,0.99,1.2,0.94,1.9,May,2024,5.03,Harvest
Robert Veronica Figueroa,Non-Irrigated,NSIC Rc 222,Purok 4,Corn,1.99,0.8,1.16,1.26,June,2024,5.21,Harvest
Robert Veronica Figueroa,Non-Irrigated,NSIC Rc 216,Purok 4,Corn,1.74,0.83,0.88,1.96,July,2024,5.41,Harvest
Robert Veronica Figueroa,Irrigated,Tubigan 14,Purok 4,Corn,1.07,0.86,1.72,1.54,August,2024,5.19,Harvest
Robert Veronica Figueroa,Irrigated,PSB Rc82,Purok 4,Corn,1.79,0.79,1.02,0.6,September,2024,4.2,Harvest
Robert Veronica Figueroa,Non-Irrigated,PSB Rc82,Purok 4,Corn,1.45,0.59,0.93,1.5,October,2024,4.47,Harvest
Robert Veronica Figueroa,Non-Irrigated,NSIC Rc 222,Purok 4,Corn,1.19,1.75,1.78,1.32,November,2024,6.04,Harvest
Robert Veronica Figueroa,Non-Irrigated,Tubigan 14,Purok 4,Corn,1.95,1.65,1.62,1.16,December,2024,6.38,Harvest
Mary Michael Mooney,Irrigated,PSB Rc82,Purok 2,Coconut,1.86,1.23,1.05,1.04,January,2020,5.18,Harvest
Mary Michael Mooney,Non-Irrigated,NSIC Rc 222,Purok 2,Coconut,0.68,0.53,1.3,1.23,February,2020,3.74,Harvest
Mary Michael Mooney,Non-Irrigated,Tubigan 14,Purok 2,Coconut,1,1.18,1.1,1.96,March,2020,5.24,Harvest
Mary Michael Mooney,Non-Irrigated,NSIC Rc 222,Purok 2,Coconut,1.44,1.35,1.75,0.51,April,2020,5.05,Harvest
Mary Michael Mooney,Irrigated,NSIC Rc 216,Purok 2,Coconut,1.43,1.49,1,1.77,May,2020,5.69,Harvest
Mary Michael Mooney,Irrigated,Tubigan 14,Purok 2,Coconut,1.55,1.71,0.8,0.91,June,2020,4.97,Harvest
Mary Michael Mooney,Non-Irrigated,Tubigan 14,Purok 2,Coconut,0.74,1.28,1.92,1.42,July,2020,5.36,Harvest
Mary Michael Mooney,Irrigated,Tubigan 14,Purok 2,Coconut,1.96,1.17,1.47,1.95,August,2020,6.55,Harvest
Mary Michael Mooney,Non-Irrigated,Tubigan 14,Purok 2,Coconut,1,1.55,1.36,1.12,September,2020,5.03,Harvest
Mary Michael Mooney,Non-Irrigated,PSB Rc82,Purok 2,Coconut,1.68,1.65,1.05,0.93,October,2020,5.31,Harvest
Mary Michael Mooney,Non-Irrigated,PSB Rc82,Purok 2,Coconut,1.75,1.26,1.5,1.85,November,2020,6.36,Harvest
Mary Michael Mooney,Irrigated,NSIC Rc 216,Purok 2,Coconut,1.16,1.43,1.56,0.8,December,2020,4.95,Harvest
Mary Michael Mooney,Irrigated,NSIC Rc 222,Purok 2,Coconut,1.82,1.17,1.87,1.37,January,2021,6.23,Harvest
Mary Michael Mooney,Non-Irrigated,NSIC Rc 216,Purok 2,Coconut,1.49,1.73,1.38,0.63,February,2021,5.23,Harvest
Mary Michael Mooney,Irrigated,PSB Rc82,Purok 2,Coconut,1.77,0.89,1.4,1.18,March,2021,5.24,Harvest
Mary Michael Mooney,Irrigated,Tubigan 14,Purok 2,Coconut,1.69,1.21,1.72,1.26,April,2021,5.88,Harvest
Mary Michael Mooney,Non-Irrigated,NSIC Rc 222,Purok 2,Coconut,0.79,1.3,0.76,1.09,May,2021,3.94,Harvest
Mary Michael Mooney,Irrigated,NSIC Rc 222,Purok 2,Coconut,1.14,0.61,1.52,1.07,June,2021,4.34,Harvest
Mary Michael Mooney,Non-Irrigated,PSB Rc82,Purok 2,Coconut,1.98,1.83,0.61,1.82,July,2021,6.24,Harvest
Mary Michael Mooney,Non-Irrigated,NSIC Rc 216,Purok 2,Coconut,1.28,1.15,0.76,0.82,August,2021,4.01,Harvest
Mary Michael Mooney,Irrigated,Tubigan 14,Purok 2,Coconut,1.09,0.61,1.56,0.79,September,2021,4.05,Harvest
Mary Michael Mooney,Non-Irrigated,NSIC Rc 222,Purok 2,Coconut,1.91,1.99,1.11,0.71,October,2021,5.72,Harvest
Mary Michael Mooney,Irrigated,PSB Rc82,Purok 2,Coconut,1.01,1.4,1.03,1.91,November,2021,5.35,Harvest
